seller_id,city,state,join_date,category_focus,fulfillment_type,seller_rating,active_listings
363,Surat,Gujarat,2022-06-04,Fashion,FBA,4.0,456
364,Chennai,Tamil Nadu,2022-09-19,Grocery,FBA,4.8,144
365,Lucknow,Uttar Pradesh,2022-10-12,Beauty,Self-Ship,4.5,157
366,Chennai,Tamil Nadu,2022-01-19,Sports,FBA,2.7,271
367,Kochi,Kerala,2022-04-25,Sports,FBA,3.5,397
368,Indore,Madhya Pradesh,2022-10-14,Beauty,Marketplace,4.3,22
369,Ahmedabad,Gujarat,2022-10-13,Beauty,Marketplace,4.4,351
370,Chennai,Tamil Nadu,2022-04-24,Electronics,Marketplace,4.1,473
371,Patna,Bihar,2022-05-03,Home & Kitchen,Marketplace,3.5,304
372,Mumbai,Maharashtra,2022-06-19,Home & Kitchen,Marketplace,3.3,186
373,Chandigarh,Punjab,2022-07-10,Grocery,Marketplace,3.9,367
374,Mumbai,Maharashtra,2022-05-23,Sports,FBA,3.9,387
375,Mumbai,Maharashtra,2022-08-03,Grocery,Marketplace,4.9,300
376,Delhi,Delhi,2022-06-02,Books,Self-Ship,4.7,276
377,Agra,Uttar Pradesh,2022-10-06,Grocery,Self-Ship,2.5,44
378,Delhi,Delhi,2022-06-19,Beauty,Self-Ship,3.6,129
379,Patna,Bihar,2022-05-20,Grocery,Self-Ship,3.6,32
380,Bengaluru,Karnataka,2022-06-12,Beauty,FBA,3.6,57
381,Ahmedabad,Gujarat,2022-12-06,Beauty,Marketplace,2.7,310
382,Kochi,Kerala,2022-03-13,Electronics,Self-Ship,3.0,20
383,Coimbatore,Tamil Nadu,2022-04-10,Home & Kitchen,Self-Ship,4.3,325
384,Agra,Uttar Pradesh,2022-11-24,Fashion,Marketplace,4.6,161
385,Jaipur,Rajasthan,2022-08-24,Home & Kitchen,Self-Ship,4.6,102
386,Surat,Gujarat,2022-01-05,Grocery,Marketplace,3.2,104
387,Ahmedabad,Gujarat,2022-03-14,Books,Self-Ship,2.9,164
388,Coimbatore,Tamil Nadu,2022-01-17,Electronics,Self-Ship,2.7,373
389,Chennai,Tamil Nadu,2022-02-26,Home & Kitchen,Marketplace,3.3,136
390,Bhopal,Madhya Pradesh,2022-02-25,Sports,Self-Ship,3.8,171
391,Patna,Bihar,2022-10-27,Home & Kitchen,FBA,3.5,437
392,Chandigarh,Punjab,2022-07-13,Sports,FBA,2.9,94
393,Indore,Madhya Pradesh,2022-02-01,Beauty,FBA,5.0,119
394,Ahmedabad,Gujarat,2022-03-15,Books,Marketplace,4.5,355
395,Agra,Uttar Pradesh,2022-07-03,Home & Kitchen,FBA,4.8,444
396,Bengaluru,Karnataka,2022-11-24,Home & Kitchen,Marketplace,4.8,81
397,Coimbatore,Tamil Nadu,2022-04-26,Beauty,FBA,3.2,476
398,Chennai,Tamil Nadu,2022-08-11,Sports,Self-Ship,3.0,461
399,Agra,Uttar Pradesh,2022-02-16,Sports,Self-Ship,2.9,258
400,Lucknow,Uttar Pradesh,2022-11-04,Fashion,FBA,4.6,23
401,Lucknow,Uttar Pradesh,2022-07-28,Electronics,Self-Ship,3.9,403
402,Kolkata,West Bengal,2022-07-03,Electronics,Marketplace,3.1,100
403,Bhopal,Madhya Pradesh,2022-11-06,Beauty,FBA,3.7,437
404,Mumbai,Maharashtra,2022-04-24,Beauty,FBA,4.5,394
405,Delhi,Delhi,2022-03-04,Fashion,FBA,4.0,266
406,Delhi,Delhi,2022-09-30,Home & Kitchen,Self-Ship,2.5,87
407,Delhi,Delhi,2022-02-18,Beauty,Marketplace,4.0,64
408,Vadodara,Gujarat,2022-11-26,Fashion,FBA,3.0,326
409,Ahmedabad,Gujarat,2022-11-06,Beauty,Self-Ship,2.7,41
410,Mumbai,Maharashtra,2022-11-27,Electronics,FBA,3.0,307
411,Surat,Gujarat,2022-02-20,Beauty,Self-Ship,2.9,440
412,Surat,Gujarat,2022-12-13,Beauty,Self-Ship,4.3,42
413,Coimbatore,Tamil Nadu,2022-07-08,Books,Self-Ship,4.9,168
414,Mumbai,Maharashtra,2022-08-19,Books,Marketplace,5.0,425
415,Chennai,Tamil Nadu,2022-01-01,Fashion,Self-Ship,4.5,186
416,Pune,Maharashtra,2022-04-30,Fashion,FBA,4.9,343
417,Patna,Bihar,2022-10-01,Beauty,FBA,3.2,202
418,Lucknow,Uttar Pradesh,2022-05-28,Beauty,FBA,3.6,410
419,Hyderabad,Telangana,2022-06-01,Sports,Self-Ship,3.0,324
420,Hyderabad,Telangana,2022-12-10,Electronics,Self-Ship,4.9,229
421,Nagpur,Maharashtra,2022-08-08,Books,Self-Ship,2.6,100
422,Chandigarh,Punjab,2022-08-03,Books,FBA,2.8,411
423,Vadodara,Gujarat,2022-10-11,Fashion,FBA,4.6,341
424,Surat,Gujarat,2022-10-08,Beauty,FBA,3.5,47
425,Agra,Uttar Pradesh,2022-03-21,Electronics,FBA,3.1,355
426,Hyderabad,Telangana,2022-09-02,Beauty,Marketplace,3.9,484
427,Patna,Bihar,2022-07-17,Electronics,Marketplace,4.6,333
428,Nagpur,Maharashtra,2022-06-21,Fashion,FBA,2.8,111
429,Chandigarh,Punjab,2022-10-04,Electronics,Self-Ship,4.0,46
430,Chennai,Tamil Nadu,2022-11-22,Beauty,Marketplace,4.3,341
431,Coimbatore,Tamil Nadu,2022-08-01,Home & Kitchen,FBA,4.8,52
432,Bengaluru,Karnataka,2022-03-19,Home & Kitchen,Marketplace,3.3,21
433,Delhi,Delhi,2022-05-06,Electronics,Self-Ship,4.6,405
434,Ahmedabad,Gujarat,2022-10-03,Sports,Marketplace,4.8,86
435,Ahmedabad,Gujarat,2022-12-24,Books,FBA,3.0,142
436,Nagpur,Maharashtra,2022-11-03,Home & Kitchen,Marketplace,4.1,445
437,Bhopal,Madhya Pradesh,2022-11-10,Beauty,FBA,2.8,255
438,Kochi,Kerala,2022-05-13,Books,FBA,3.7,293
439,Pune,Maharashtra,2022-12-16,Grocery,Self-Ship,3.5,301
440,Bengaluru,Karnataka,2022-04-18,Home & Kitchen,Marketplace,2.8,58
441,Hyderabad,Telangana,2022-05-21,Grocery,Marketplace,4.7,427
442,Bhopal,Madhya Pradesh,2022-06-30,Grocery,FBA,4.3,211
443,Lucknow,Uttar Pradesh,2022-08-09,Fashion,Self-Ship,4.7,458
444,Ahmedabad,Gujarat,2022-07-08,Grocery,FBA,4.5,259
445,Kolkata,West Bengal,2022-06-11,Home & Kitchen,Self-Ship,3.1,423
446,Ahmedabad,Gujarat,2022-07-07,Beauty,Marketplace,3.5,486
447,Bhopal,Madhya Pradesh,2022-08-29,Sports,Self-Ship,3.2,235
448,Coimbatore,Tamil Nadu,2022-10-29,Home & Kitchen,Self-Ship,2.9,152
449,Vadodara,Gujarat,2022-12-29,Home & Kitchen,Self-Ship,4.6,21
450,Lucknow,Uttar Pradesh,2022-11-17,Beauty,FBA,3.3,500
451,Nagpur,Maharashtra,2022-03-08,Sports,Marketplace,3.5,206
452,Kochi,Kerala,2022-02-26,Home & Kitchen,FBA,4.5,37
453,Nagpur,Maharashtra,2022-03-06,Grocery,Self-Ship,4.7,374
454,Chandigarh,Punjab,2022-11-02,Fashion,FBA,4.3,369
455,Mumbai,Maharashtra,2022-08-14,Sports,Marketplace,4.4,141
456,Jaipur,Rajasthan,2022-03-12,Grocery,FBA,2.8,66
457,Lucknow,Uttar Pradesh,2022-12-03,Beauty,Self-Ship,4.8,105
458,Chennai,Tamil Nadu,2022-04-11,Grocery,Self-Ship,4.7,246
459,Kochi,Kerala,2022-12-20,Grocery,Marketplace,4.2,367
460,Mumbai,Maharashtra,2022-06-26,Home & Kitchen,Self-Ship,4.3,247
461,Chennai,Tamil Nadu,2022-03-01,Home & Kitchen,Marketplace,3.2,345
462,Delhi,Delhi,2022-01-13,Beauty,FBA,3.1,322
463,Coimbatore,Tamil Nadu,2022-02-17,Fashion,Self-Ship,3.6,358
464,Chennai,Tamil Nadu,2022-05-05,Grocery,FBA,3.6,384
465,Chennai,Tamil Nadu,2022-01-29,Books,Marketplace,4.2,148
466,Surat,Gujarat,2022-07-22,Electronics,Self-Ship,3.5,383
467,Patna,Bihar,2022-07-22,Electronics,FBA,3.5,122
468,Chennai,Tamil Nadu,2022-09-24,Grocery,Self-Ship,3.0,67
469,Bengaluru,Karnataka,2022-03-19,Fashion,FBA,4.6,440
470,Delhi,Delhi,2022-12-13,Books,Marketplace,3.2,480
471,Jaipur,Rajasthan,2022-07-18,Fashion,Self-Ship,4.4,455
472,Kochi,Kerala,2022-04-15,Fashion,FBA,3.6,241
473,Vadodara,Gujarat,2022-01-12,Beauty,Marketplace,2.9,363
474,Kochi,Kerala,2022-07-27,Sports,Self-Ship,4.3,336
475,Bengaluru,Karnataka,2022-04-16,Books,Self-Ship,2.5,181
476,Jaipur,Rajasthan,2022-05-27,Sports,Self-Ship,4.7,316
477,Chennai,Tamil Nadu,2022-10-15,Electronics,Self-Ship,4.8,153
478,Vadodara,Gujarat,2022-01-27,Books,FBA,4.7,84
479,Jaipur,Rajasthan,2022-07-09,Sports,FBA,4.8,486
480,Pune,Maharashtra,2022-01-26,Home & Kitchen,Marketplace,4.9,457
481,Mumbai,Maharashtra,2022-02-25,Electronics,Self-Ship,3.2,66
482,Chandigarh,Punjab,2022-09-29,Home & Kitchen,Marketplace,4.2,372
483,Delhi,Delhi,2022-01-25,Sports,FBA,4.9,385
484,Coimbatore,Tamil Nadu,2022-11-24,Sports,Marketplace,4.3,156
485,Jaipur,Rajasthan,2022-02-04,Books,FBA,3.2,149
486,Ahmedabad,Gujarat,2022-06-28,Electronics,Self-Ship,3.5,270
487,Surat,Gujarat,2022-12-18,Electronics,FBA,4.6,107
488,Coimbatore,Tamil Nadu,2022-12-02,Books,FBA,3.2,340
489,Pune,Maharashtra,2022-06-08,Beauty,Self-Ship,3.3,268
490,Delhi,Delhi,2022-01-22,Fashion,Marketplace,4.1,62
491,Bhopal,Madhya Pradesh,2022-06-12,Sports,Self-Ship,3.2,66
492,Chandigarh,Punjab,2022-08-19,Grocery,Marketplace,3.2,56
493,Agra,Uttar Pradesh,2022-03-21,Electronics,Self-Ship,4.5,346
494,Hyderabad,Telangana,2022-11-07,Beauty,Marketplace,4.2,340
495,Pune,Maharashtra,2022-12-26,Beauty,FBA,3.6,64
496,Indore,Madhya Pradesh,2022-07-19,Sports,Self-Ship,5.0,274
497,Nagpur,Maharashtra,2022-02-13,Electronics,Marketplace,3.9,433
498,Bhopal,Madhya Pradesh,2022-07-02,Beauty,Marketplace,4.3,276
499,Pune,Maharashtra,2022-04-12,Books,FBA,3.5,253
500,Delhi,Delhi,2022-06-14,Books,FBA,3.3,284
